Symbolic_Maths,Natural_Language
U ⊆ univ,Every set U is a subset of the universal set
W ⊆ univ,Every set W is a subset of the universal set
X ⊆ univ,Every set X is a subset of the universal set
Y ⊆ univ,Every set Y is a subset of the universal set
Z ⊆ univ,Every set Z is a subset of the universal set
"∀ S, S ⊆ A → S ∈ 𝒫(A)",Every subset of A is an element of the power set of A
"∀ S, S ⊆ B → S ∈ 𝒫(B)",Every subset of B is an element of the power set of B
"∀ S, S ⊆ P → S ∈ 𝒫(P)",Every subset of P is an element of the power set of P
"∀ S, S ⊆ Q → S ∈ 𝒫(Q)",Every subset of Q is an element of the power set of Q
"∀ S, S ⊆ R → S ∈ 𝒫(R)",Every subset of R is an element of the power set of R
"∀ S, S ⊆ U → S ∈ 𝒫(U)",Every subset of U is an element of the power set of U
"∀ S, S ⊆ V → S ∈ 𝒫(V)",Every subset of V is an element of the power set of V
"∀ S, S ⊆ W → S ∈ 𝒫(W)",Every subset of W is an element of the power set of W
"∀ S, S ⊆ X → S ∈ 𝒫(X)",Every subset of X is an element of the power set of X
"∀ S, S ⊆ Z → S ∈ 𝒫(Z)",Every subset of Z is an element of the power set of Z
"∀ S ⊆ B, Finite S","For all subsets S of B, S is finite"
"∀ S ⊆ R, Finite S","For all subsets S of R, S is finite"
"∀ S ⊆ U, Finite S","For all subsets S of U, S is finite"
"∀ S ⊆ V, Finite S","For all subsets S of V, S is finite"
"∀ S ⊆ Y, Finite S","For all subsets S of Y, S is finite"
"∀ x ∈ A, P x","For all x in A, property P holds"
"∀ x ∈ B, P x","For all x in B, property P holds"
"∀ x ∈ C, P x","For all x in C, property P holds"
"∀ x ∈ P, P x","For all x in P, property P holds"
"∀ x ∈ Q, P x","For all x in Q, property P holds"
"∀ x ∈ R, P x","For all x in R, property P holds"
"∀ x ∈ S, P x","For all x in S, property P holds"
"∀ x ∈ T, P x","For all x in T, property P holds"
"∀ x ∈ U, P x","For all x in U, property P holds"
"∀ x ∈ V, P x","For all x in V, property P holds"
"∀ x ∈ W, P x","For all x in W, property P holds"
"∀ x ∈ Y, P x","For all x in Y, property P holds"
"∀ x ∈ A, P x → Q x","For every element x in A, if P(x) then Q(x)"
"∀ x ∈ B, P x → Q x","For every element x in B, if P(x) then Q(x)"
"∀ x ∈ C, P x → Q x","For every element x in C, if P(x) then Q(x)"
"∀ x ∈ Q, P x → Q x","For every element x in Q, if P(x) then Q(x)"
"∀ x ∈ R, P x → Q x","For every element x in R, if P(x) then Q(x)"
"∀ x ∈ T, P x → Q x","For every element x in T, if P(x) then Q(x)"
"∀ x ∈ V, P x → Q x","For every element x in V, if P(x) then Q(x)"
"∀ x ∈ W, P x → Q x","For every element x in W, if P(x) then Q(x)"
"∀ x ∈ Z, P x → Q x","For every element x in Z, if P(x) then Q(x)"
A ⊆ A ∧ A ⊆ A → A = A,"If A is a subset of A and A is a subset of A, then A equals A"
A ⊆ U ∧ U ⊆ A → A = U,"If A is a subset of U and U is a subset of A, then A equals U"
Finite A ∧ Finite V → Finite (A ∪ V),"If A is finite and V is finite, then A ∪ V is finite"
Finite A ∧ Finite W → Finite (A ∪ W),"If A is finite and W is finite, then A ∪ W is finite"
A ⊆ C ∧ Infinite A → Infinite C,"If A ⊆ C and A is infinite, then C is infinite"
A ⊆ W ∧ Infinite A → Infinite W,"If A ⊆ W and A is infinite, then W is infinite"
C ⊆ R ∧ R ⊆ C → C = R,"If C is a subset of R and R is a subset of C, then C equals R"
C ⊆ B → Bᶜ ⊆ Cᶜ,"If C ⊆ B, then Bᶜ ⊆ Cᶜ"
C ⊆ Q ∧ Infinite C → Infinite Q,"If C ⊆ Q and C is infinite, then Q is infinite"
C ⊆ Q → Qᶜ ⊆ Cᶜ,"If C ⊆ Q, then Qᶜ ⊆ Cᶜ"
C ⊆ S → Sᶜ ⊆ Cᶜ,"If C ⊆ S, then Sᶜ ⊆ Cᶜ"
P ⊆ A ∧ A ⊆ P → P = A,"If P is a subset of A and A is a subset of P, then P equals A"
P ⊆ C ∧ C ⊆ P → P = C,"If P is a subset of C and C is a subset of P, then P equals C"
P ⊆ W ∧ W ⊆ P → P = W,"If P is a subset of W and W is a subset of P, then P equals W"
P ⊆ Z ∧ Z ⊆ P → P = Z,"If P is a subset of Z and Z is a subset of P, then P equals Z"
P ⊆ S ∧ Infinite P → Infinite S,"If P ⊆ S and P is infinite, then S is infinite"
P ⊆ T ∧ T ⊆ T → P ⊆ T,"If P ⊆ T and T ⊆ T, then P ⊆ T"
P ⊆ U ∧ U ⊆ Y → P ⊆ Y,"If P ⊆ U and U ⊆ Y, then P ⊆ Y"
Disjoint Q S → Q ∩ S = ∅,"If Q and S are disjoint, then Q ∩ S = ∅"
Disjoint Q Y → Q ∩ Y = ∅,"If Q and Y are disjoint, then Q ∩ Y = ∅"
Q ⊆ C ∧ C ⊆ Q → Q = C,"If Q is a subset of C and C is a subset of Q, then Q equals C"
Q ⊆ X ∧ X ⊆ Q → Q = X,"If Q is a subset of X and X is a subset of Q, then Q equals X"
Finite Q ∧ Finite V → Finite (Q ∪ V),"If Q is finite and V is finite, then Q ∪ V is finite"
Q ⊆ C → Cᶜ ⊆ Qᶜ,"If Q ⊆ C, then Cᶜ ⊆ Qᶜ"
Q ⊆ Q ∧ Q ⊆ A → Q ⊆ A,"If Q ⊆ Q and Q ⊆ A, then Q ⊆ A"
Q ⊆ V ∧ Infinite Q → Infinite V,"If Q ⊆ V and Q is infinite, then V is infinite"
Q ⊆ X → Xᶜ ⊆ Qᶜ,"If Q ⊆ X, then Xᶜ ⊆ Qᶜ"
R ⊆ X ∧ X ⊆ R → R = X,"If R is a subset of X and X is a subset of R, then R equals X"
Finite R ∧ Finite T → Finite (R ∪ T),"If R is finite and T is finite, then R ∪ T is finite"
Finite R ∧ Finite Z → Finite (R ∪ Z),"If R is finite and Z is finite, then R ∪ Z is finite"
R ⊆ S → Sᶜ ⊆ Rᶜ,"If R ⊆ S, then Sᶜ ⊆ Rᶜ"
R ⊆ T ∧ Infinite R → Infinite T,"If R ⊆ T and R is infinite, then T is infinite"
R ⊆ U ∧ Infinite R → Infinite U,"If R ⊆ U and R is infinite, then U is infinite"
R ⊆ W ∧ W ⊆ Y → R ⊆ Y,"If R ⊆ W and W ⊆ Y, then R ⊆ Y"
R ⊆ W ∧ W ⊆ Z → R ⊆ Z,"If R ⊆ W and W ⊆ Z, then R ⊆ Z"
Disjoint S R → S ∩ R = ∅,"If S and R are disjoint, then S ∩ R = ∅"
S ⊆ P ∧ P ⊆ S → S = P,"If S is a subset of P and P is a subset of S, then S equals P"
Finite S ∧ Finite T → Finite (S ∪ T),"If S is finite and T is finite, then S ∪ T is finite"
S ⊆ Q → Qᶜ ⊆ Sᶜ,"If S ⊆ Q, then Qᶜ ⊆ Sᶜ"
S ⊆ S → Sᶜ ⊆ Sᶜ,"If S ⊆ S, then Sᶜ ⊆ Sᶜ"
S ⊆ U → Uᶜ ⊆ Sᶜ,"If S ⊆ U, then Uᶜ ⊆ Sᶜ"
S ⊆ Y ∧ Y ⊆ S → S ⊆ S,"If S ⊆ Y and Y ⊆ S, then S ⊆ S"
Disjoint T W → T ∩ W = ∅,"If T and W are disjoint, then T ∩ W = ∅"
T ⊆ Z ∧ Infinite T → Infinite Z,"If T ⊆ Z and T is infinite, then Z is infinite"
Disjoint U P → U ∩ P = ∅,"If U and P are disjoint, then U ∩ P = ∅"
Disjoint U S → U ∩ S = ∅,"If U and S are disjoint, then U ∩ S = ∅"
U ⊆ V ∧ V ⊆ U → U = V,"If U is a subset of V and V is a subset of U, then U equals V"
U ⊆ T ∧ T ⊆ S → U ⊆ S,"If U ⊆ T and T ⊆ S, then U ⊆ S"
U ⊆ V ∧ V ⊆ Q → U ⊆ Q,"If U ⊆ V and V ⊆ Q, then U ⊆ Q"
U ⊆ V → Vᶜ ⊆ Uᶜ,"If U ⊆ V, then Vᶜ ⊆ Uᶜ"
V ⊆ A ∧ A ⊆ V → V = A,"If V is a subset of A and A is a subset of V, then V equals A"
V ⊆ X ∧ X ⊆ V → V = X,"If V is a subset of X and X is a subset of V, then V equals X"
V ⊆ Y ∧ Y ⊆ V → V = Y,"If V is a subset of Y and Y is a subset of V, then V equals Y"
V ⊆ Z ∧ Z ⊆ V → V = Z,"If V is a subset of Z and Z is a subset of V, then V equals Z"
V ⊆ A ∧ A ⊆ B → V ⊆ B,"If V ⊆ A and A ⊆ B, then V ⊆ B"
V ⊆ V ∧ Infinite V → Infinite V,"If V ⊆ V and V is infinite, then V is infinite"
V ⊆ W ∧ W ⊆ T → V ⊆ T,"If V ⊆ W and W ⊆ T, then V ⊆ T"
Disjoint W Y → W ∩ Y = ∅,"If W and Y are disjoint, then W ∩ Y = ∅"
Finite W ∧ Finite Y → Finite (W ∪ Y),"If W is finite and Y is finite, then W ∪ Y is finite"
W ⊆ B ∧ B ⊆ Z → W ⊆ Z,"If W ⊆ B and B ⊆ Z, then W ⊆ Z"
W ⊆ S → Sᶜ ⊆ Wᶜ,"If W ⊆ S, then Sᶜ ⊆ Wᶜ"
W ⊆ W ∧ W ⊆ A → W ⊆ A,"If W ⊆ W and W ⊆ A, then W ⊆ A"
X ⊆ Y ∧ Y ⊆ X → X = Y,"If X is a subset of Y and Y is a subset of X, then X equals Y"
X ⊆ B ∧ B ⊆ U → X ⊆ U,"If X ⊆ B and B ⊆ U, then X ⊆ U"
X ⊆ R → Rᶜ ⊆ Xᶜ,"If X ⊆ R, then Rᶜ ⊆ Xᶜ"
Disjoint Y P → Y ∩ P = ∅,"If Y and P are disjoint, then Y ∩ P = ∅"
Y ⊆ B ∧ B ⊆ Y → Y = B,"If Y is a subset of B and B is a subset of Y, then Y equals B"
Y ⊆ Z ∧ Z ⊆ Y → Y = Z,"If Y is a subset of Z and Z is a subset of Y, then Y equals Z"
Finite Y ∧ Finite R → Finite (Y ∪ R),"If Y is finite and R is finite, then Y ∪ R is finite"
Y ⊆ A ∧ A ⊆ W → Y ⊆ W,"If Y ⊆ A and A ⊆ W, then Y ⊆ W"
Y ⊆ T ∧ T ⊆ A → Y ⊆ A,"If Y ⊆ T and T ⊆ A, then Y ⊆ A"
Y ⊆ X ∧ X ⊆ B → Y ⊆ B,"If Y ⊆ X and X ⊆ B, then Y ⊆ B"
Z ⊆ T ∧ T ⊆ Z → Z = T,"If Z is a subset of T and T is a subset of Z, then Z equals T"
Z ⊆ V ∧ V ⊆ Q → Z ⊆ Q,"If Z ⊆ V and V ⊆ Q, then Z ⊆ Q"
Z ⊆ V ∧ V ⊆ X → Z ⊆ X,"If Z ⊆ V and V ⊆ X, then Z ⊆ X"
Z ⊆ V → Vᶜ ⊆ Zᶜ,"If Z ⊆ V, then Vᶜ ⊆ Zᶜ"
Z ⊆ W ∧ Infinite Z → Infinite W,"If Z ⊆ W and Z is infinite, then W is infinite"
"Injective f → ∀ x y ∈ A, f x = f y → x = y","If f is injective, then for all x, y in A, f(x) = f(y) implies x = y"
"Injective f → ∀ x y ∈ C, f x = f y → x = y","If f is injective, then for all x, y in C, f(x) = f(y) implies x = y"
"Injective f → ∀ x y ∈ R, f x = f y → x = y","If f is injective, then for all x, y in R, f(x) = f(y) implies x = y"
"Injective f → ∀ x y ∈ T, f x = f y → x = y","If f is injective, then for all x, y in T, f(x) = f(y) implies x = y"
"Injective f → ∀ x y ∈ U, f x = f y → x = y","If f is injective, then for all x, y in U, f(x) = f(y) implies x = y"
"Injective f → ∀ x y ∈ V, f x = f y → x = y","If f is injective, then for all x, y in V, f(x) = f(y) implies x = y"
"Injective f → ∀ x y ∈ W, f x = f y → x = y","If f is injective, then for all x, y in W, f(x) = f(y) implies x = y"
"Injective f → ∀ x y ∈ X, f x = f y → x = y","If f is injective, then for all x, y in X, f(x) = f(y) implies x = y"
"Injective f → ∀ x y ∈ Z, f x = f y → x = y","If f is injective, then for all x, y in Z, f(x) = f(y) implies x = y"
A ∩ (S ∪ P) = (A ∩ S) ∪ (A ∩ P),Intersection distributes over union: A ∩ (S ∪ P) = (A ∩ S) ∪ (A ∩ P)
P ∩ (A ∪ W) = (P ∩ A) ∪ (P ∩ W),Intersection distributes over union: P ∩ (A ∪ W) = (P ∩ A) ∪ (P ∩ W)
P ∩ (B ∪ P) = (P ∩ B) ∪ (P ∩ P),Intersection distributes over union: P ∩ (B ∪ P) = (P ∩ B) ∪ (P ∩ P)
P ∩ (R ∪ P) = (P ∩ R) ∪ (P ∩ P),Intersection distributes over union: P ∩ (R ∪ P) = (P ∩ R) ∪ (P ∩ P)
Q ∩ (W ∪ C) = (Q ∩ W) ∪ (Q ∩ C),Intersection distributes over union: Q ∩ (W ∪ C) = (Q ∩ W) ∪ (Q ∩ C)
R ∩ (A ∪ A) = (R ∩ A) ∪ (R ∩ A),Intersection distributes over union: R ∩ (A ∪ A) = (R ∩ A) ∪ (R ∩ A)
R ∩ (Q ∪ S) = (R ∩ Q) ∪ (R ∩ S),Intersection distributes over union: R ∩ (Q ∪ S) = (R ∩ Q) ∪ (R ∩ S)
R ∩ (Z ∪ T) = (R ∩ Z) ∪ (R ∩ T),Intersection distributes over union: R ∩ (Z ∪ T) = (R ∩ Z) ∪ (R ∩ T)
S ∩ (P ∪ U) = (S ∩ P) ∪ (S ∩ U),Intersection distributes over union: S ∩ (P ∪ U) = (S ∩ P) ∪ (S ∩ U)
S ∩ (S ∪ S) = (S ∩ S) ∪ (S ∩ S),Intersection distributes over union: S ∩ (S ∪ S) = (S ∩ S) ∪ (S ∩ S)
T ∩ (B ∪ T) = (T ∩ B) ∪ (T ∩ T),Intersection distributes over union: T ∩ (B ∪ T) = (T ∩ B) ∪ (T ∩ T)
T ∩ (X ∪ B) = (T ∩ X) ∪ (T ∩ B),Intersection distributes over union: T ∩ (X ∪ B) = (T ∩ X) ∪ (T ∩ B)
U ∩ (A ∪ A) = (U ∩ A) ∪ (U ∩ A),Intersection distributes over union: U ∩ (A ∪ A) = (U ∩ A) ∪ (U ∩ A)
U ∩ (A ∪ B) = (U ∩ A) ∪ (U ∩ B),Intersection distributes over union: U ∩ (A ∪ B) = (U ∩ A) ∪ (U ∩ B)
U ∩ (U ∪ Q) = (U ∩ U) ∪ (U ∩ Q),Intersection distributes over union: U ∩ (U ∪ Q) = (U ∩ U) ∪ (U ∩ Q)
V ∩ (U ∪ C) = (V ∩ U) ∪ (V ∩ C),Intersection distributes over union: V ∩ (U ∪ C) = (V ∩ U) ∪ (V ∩ C)
V ∩ (W ∪ V) = (V ∩ W) ∪ (V ∩ V),Intersection distributes over union: V ∩ (W ∪ V) = (V ∩ W) ∪ (V ∩ V)
V ∩ (Z ∪ C) = (V ∩ Z) ∪ (V ∩ C),Intersection distributes over union: V ∩ (Z ∪ C) = (V ∩ Z) ∪ (V ∩ C)
W ∩ (P ∪ Q) = (W ∩ P) ∪ (W ∩ Q),Intersection distributes over union: W ∩ (P ∪ Q) = (W ∩ P) ∪ (W ∩ Q)
X ∩ (S ∪ A) = (X ∩ S) ∪ (X ∩ A),Intersection distributes over union: X ∩ (S ∪ A) = (X ∩ S) ∪ (X ∩ A)
X ∩ (W ∪ B) = (X ∩ W) ∪ (X ∩ B),Intersection distributes over union: X ∩ (W ∪ B) = (X ∩ W) ∪ (X ∩ B)
X ∩ (W ∪ S) = (X ∩ W) ∪ (X ∩ S),Intersection distributes over union: X ∩ (W ∪ S) = (X ∩ W) ∪ (X ∩ S)
Y ∩ (B ∪ Z) = (Y ∩ B) ∪ (Y ∩ Z),Intersection distributes over union: Y ∩ (B ∪ Z) = (Y ∩ B) ∪ (Y ∩ Z)
Y ∩ (P ∪ Q) = (Y ∩ P) ∪ (Y ∩ Q),Intersection distributes over union: Y ∩ (P ∪ Q) = (Y ∩ P) ∪ (Y ∩ Q)
Z ∩ (B ∪ X) = (Z ∩ B) ∪ (Z ∩ X),Intersection distributes over union: Z ∩ (B ∪ X) = (Z ∩ B) ∪ (Z ∩ X)
Z ∩ (R ∪ Y) = (Z ∩ R) ∪ (Z ∩ Y),Intersection distributes over union: Z ∩ (R ∪ Y) = (Z ∩ R) ∪ (Z ∩ Y)
Z ∩ (S ∪ R) = (Z ∩ S) ∪ (Z ∩ R),Intersection distributes over union: Z ∩ (S ∪ R) = (Z ∩ S) ∪ (Z ∩ R)
Z ∩ (Y ∪ Q) = (Z ∩ Y) ∪ (Z ∩ Q),Intersection distributes over union: Z ∩ (Y ∪ Q) = (Z ∩ Y) ∪ (Z ∩ Q)
"∀ x, x ∉ ∅",No element is an element of the empty set
P ⊆ B,P is a subset of B
P ∈ 𝒫(P),P is an element of its own power set
P ∩ (P ∪ T) = P,Pbsorption law for intersection: P ∩ (P ∪ T) = P
P ∪ (P ∩ T) = P,Pbsorption law for union: P ∪ (P ∩ T) = P
Disjoint Q Qᶜ,Q and its complement are disjoint
Q ⊆ U,Q is a subset of U
Q ∩ (Q ∪ B) = Q,Qbsorption law for intersection: Q ∩ (Q ∪ B) = Q
Q ∪ (Q ∩ S) = Q,Qbsorption law for union: Q ∪ (Q ∩ S) = Q
R ⊆ C,R is a subset of C
R ⊆ R ∪ Q,R is a subset of the union of R and Q
R ⊆ R ∪ V,R is a subset of the union of R and V
R ⊆ R ∪ X,R is a subset of the union of R and X
R ∩ (R ∪ R) = R,Rbsorption law for intersection: R ∩ (R ∪ R) = R
Disjoint S Sᶜ,S and its complement are disjoint
S ⊆ B,S is a subset of B
S ⊆ U,S is a subset of U
S ⊆ V,S is a subset of V
S ⊆ W,S is a subset of W
S ⊆ Z,S is a subset of Z
S ⊆ S ∪ U,S is a subset of the union of S and U
S ∈ 𝒫(S),S is an element of its own power set
S ∪ (S ∩ R) = S,Sbsorption law for union: S ∪ (S ∩ R) = S
S ∪ (S ∩ S) = S,Sbsorption law for union: S ∪ (S ∩ S) = S
S ∪ (S ∩ Z) = S,Sbsorption law for union: S ∪ (S ∩ Z) = S
A ⊇ P,Set A contains set P
A ⊇ R,Set A contains set R
A ⊇ U,Set A contains set U
A ⊇ V,Set A contains set V
A ⊇ Z,Set A contains set Z
A ⊆ T,Set A is a subset of set T
B ⊇ P,Set B contains set P
B ⊇ R,Set B contains set R
B ⊇ W,Set B contains set W
B ⊆ C,Set B is a subset of set C
C ⊇ B,Set C contains set B
C ⊇ T,Set C contains set T
C ⊇ X,Set C contains set X
C ⊆ Y,Set C is a subset of set Y
P ⊇ Q,Set P contains set Q
P ⊇ R,Set P contains set R
P ⊇ W,Set P contains set W
P ⊇ X,Set P contains set X
P ⊆ S,Set P is a subset of set S
P ⊆ V,Set P is a subset of set V
Q ⊇ A,Set Q contains set A
Q ⊇ X,Set Q contains set X
Q ⊇ Y,Set Q contains set Y
R ⊇ B,Set R contains set B
R ⊇ P,Set R contains set P
R ⊇ Q,Set R contains set Q
R ⊇ U,Set R contains set U
R ⊇ Y,Set R contains set Y
R ⊆ Y,Set R is a subset of set Y
S ⊇ B,Set S contains set B
S ⊇ C,Set S contains set C
S ⊇ Q,Set S contains set Q
S ⊇ X,Set S contains set X
S ⊆ T,Set S is a subset of set T
S ⊆ U,Set S is a subset of set U
T ⊇ P,Set T contains set P
T ⊇ Q,Set T contains set Q
T ⊇ S,Set T contains set S
T ⊇ W,Set T contains set W
T ⊇ Y,Set T contains set Y
U ⊇ C,Set U contains set C
U ⊇ R,Set U contains set R
U ⊇ X,Set U contains set X
U ⊇ Y,Set U contains set Y
U ⊆ Q,Set U is a subset of set Q
U ⊆ R,Set U is a subset of set R
V ⊇ C,Set V contains set C
V ⊇ T,Set V contains set T
V ⊇ Y,Set V contains set Y
V ⊇ Z,Set V contains set Z
W ⊇ A,Set W contains set A
W ⊇ B,Set W contains set B
W ⊇ C,Set W contains set C
W ⊇ P,Set W contains set P
W ⊇ Q,Set W contains set Q
W ⊇ R,Set W contains set R
W ⊇ S,Set W contains set S
W ⊇ U,Set W contains set U
W ⊇ X,Set W contains set X
W ⊇ Z,Set W contains set Z
W ⊆ R,Set W is a subset of set R
W ⊆ U,Set W is a subset of set U
X ⊇ B,Set X contains set B
X ⊇ C,Set X contains set C
X ⊇ P,Set X contains set P
X ⊇ W,Set X contains set W
X ⊇ Y,Set X contains set Y
X ⊆ T,Set X is a subset of set T
X ⊆ V,Set X is a subset of set V
Y ⊇ P,Set Y contains set P
Y ⊇ Q,Set Y contains set Q
Y ⊇ T,Set Y contains set T
Y ⊇ W,Set Y contains set W
Y ⊆ A,Set Y is a subset of set A
Z ⊇ P,Set Z contains set P
Z ⊇ W,Set Z contains set W
Z ⊇ X,Set Z contains set X
Z ⊆ S,Set Z is a subset of set S
Z ⊆ U,Set Z is a subset of set U
"C = Y ↔ ∀ x, x ∈ C ↔ x ∈ Y",Sets C and Y are equal if they have the same elements
"Q = W ↔ ∀ x, x ∈ Q ↔ x ∈ W",Sets Q and W are equal if they have the same elements
"Q = Z ↔ ∀ x, x ∈ Q ↔ x ∈ Z",Sets Q and Z are equal if they have the same elements
"R = B ↔ ∀ x, x ∈ R ↔ x ∈ B",Sets R and B are equal if they have the same elements
"R = C ↔ ∀ x, x ∈ R ↔ x ∈ C",Sets R and C are equal if they have the same elements
"T = V ↔ ∀ x, x ∈ T ↔ x ∈ V",Sets T and V are equal if they have the same elements
"T = Z ↔ ∀ x, x ∈ T ↔ x ∈ Z",Sets T and Z are equal if they have the same elements
"U = W ↔ ∀ x, x ∈ U ↔ x ∈ W",Sets U and W are equal if they have the same elements
"Y = S ↔ ∀ x, x ∈ Y ↔ x ∈ S",Sets Y and S are equal if they have the same elements
"Z = A ↔ ∀ x, x ∈ Z ↔ x ∈ A",Sets Z and A are equal if they have the same elements
"Z = T ↔ ∀ x, x ∈ Z ↔ x ∈ T",Sets Z and T are equal if they have the same elements
Disjoint T Tᶜ,T and its complement are disjoint
T ⊆ Q,T is a subset of Q
T ⊆ X,T is a subset of X
T ⊆ T ∪ A,T is a subset of the union of T and A
T ⊆ T ∪ U,T is a subset of the union of T and U
T ∈ 𝒫(T),T is an element of its own power set
"A × Q = {(a, b) | a ∈ A ∧ b ∈ Q}","The Cartesian product A × Q is the set of all ordered pairs (a, b) where a ∈ A and b ∈ Q"
"A × V = {(a, b) | a ∈ A ∧ b ∈ V}","The Cartesian product A × V is the set of all ordered pairs (a, b) where a ∈ A and b ∈ V"
"C × C = {(a, b) | a ∈ C ∧ b ∈ C}","The Cartesian product C × C is the set of all ordered pairs (a, b) where a ∈ C and b ∈ C"
"C × R = {(a, b) | a ∈ C ∧ b ∈ R}","The Cartesian product C × R is the set of all ordered pairs (a, b) where a ∈ C and b ∈ R"
"C × S = {(a, b) | a ∈ C ∧ b ∈ S}","The Cartesian product C × S is the set of all ordered pairs (a, b) where a ∈ C and b ∈ S"
"C × U = {(a, b) | a ∈ C ∧ b ∈ U}","The Cartesian product C × U is the set of all ordered pairs (a, b) where a ∈ C and b ∈ U"
"C × Z = {(a, b) | a ∈ C ∧ b ∈ Z}","The Cartesian product C × Z is the set of all ordered pairs (a, b) where a ∈ C and b ∈ Z"
"P × B = {(a, b) | a ∈ P ∧ b ∈ B}","The Cartesian product P × B is the set of all ordered pairs (a, b) where a ∈ P and b ∈ B"
"P × S = {(a, b) | a ∈ P ∧ b ∈ S}","The Cartesian product P × S is the set of all ordered pairs (a, b) where a ∈ P and b ∈ S"
"Q × Z = {(a, b) | a ∈ Q ∧ b ∈ Z}","The Cartesian product Q × Z is the set of all ordered pairs (a, b) where a ∈ Q and b ∈ Z"
"R × A = {(a, b) | a ∈ R ∧ b ∈ A}","The Cartesian product R × A is the set of all ordered pairs (a, b) where a ∈ R and b ∈ A"
"S × B = {(a, b) | a ∈ S ∧ b ∈ B}","The Cartesian product S × B is the set of all ordered pairs (a, b) where a ∈ S and b ∈ B"
"S × S = {(a, b) | a ∈ S ∧ b ∈ S}","The Cartesian product S × S is the set of all ordered pairs (a, b) where a ∈ S and b ∈ S"
"T × C = {(a, b) | a ∈ T ∧ b ∈ C}","The Cartesian product T × C is the set of all ordered pairs (a, b) where a ∈ T and b ∈ C"
"T × Q = {(a, b) | a ∈ T ∧ b ∈ Q}","The Cartesian product T × Q is the set of all ordered pairs (a, b) where a ∈ T and b ∈ Q"
"T × U = {(a, b) | a ∈ T ∧ b ∈ U}","The Cartesian product T × U is the set of all ordered pairs (a, b) where a ∈ T and b ∈ U"
"U × U = {(a, b) | a ∈ U ∧ b ∈ U}","The Cartesian product U × U is the set of all ordered pairs (a, b) where a ∈ U and b ∈ U"
"U × W = {(a, b) | a ∈ U ∧ b ∈ W}","The Cartesian product U × W is the set of all ordered pairs (a, b) where a ∈ U and b ∈ W"
"X × Q = {(a, b) | a ∈ X ∧ b ∈ Q}","The Cartesian product X × Q is the set of all ordered pairs (a, b) where a ∈ X and b ∈ Q"
"X × T = {(a, b) | a ∈ X ∧ b ∈ T}","The Cartesian product X × T is the set of all ordered pairs (a, b) where a ∈ X and b ∈ T"
