Maths,natural_language
W ∪ (Y ∩ T) = (W ∪ Y) ∩ (W ∪ T),Union distributes over intersection: W ∪ (Y ∩ T) = (W ∪ Y) ∩ (W ∪ T)
V ⊇ Y,Set V is a superset of set Y
V ⊆ A ∧ A ⊆ B → V ⊆ B,"If V ⊆ A and A ⊆ B, then V ⊆ B"
u ∈ W ∪ T ↔ (u ∈ W ∨ u ∈ T),u is in W union T if and only if u is in W or u is in T
V = S ↔ (V ⊆ S ∧ S ⊆ V),Two sets are equal if and only if they are subsets of each other
k ∈ B ∩ V ↔ (k ∈ B ∧ k ∈ V),k belongs to the intersection of B and V if and only if k is in both B and V
"∃ S ⊆ C, S ≠ ∅",There exists a subset S of C that is non-empty
Surjective (f : Y → X),f is surjective from Y to X
"∀ x, x ∉ ∅",The empty set has no elements
Z ⊆ V ∧ V ⊆ X → Z ⊆ X,"If Z ⊆ V and V ⊆ X, then Z ⊆ X"
"∀ x ∈ Y, P x","For all x in Y, property P holds"
"∃! x ∈ R, P x",There exists a unique element x in R satisfying P
f '' S,The image of set S under function f
m ∉ Q,m is not a member of set Q
{x ∈ A | Q x},The set of all elements in A satisfying property Q
R ⊆ X ∧ X ⊆ R → R = X,"If R is a subset of X and X is a subset of R, then R equals X"
Y ∪ (S ∩ C) = (Y ∪ S) ∩ (Y ∪ C),Union distributes over intersection: Y ∪ (S ∩ C) = (Y ∪ S) ∩ (Y ∪ C)
X ∩ (W ∪ B) = (X ∩ W) ∪ (X ∩ B),Intersection distributes over union: X ∩ (W ∪ B) = (X ∩ W) ∪ (X ∩ B)
x ∈ B,The element x belongs to set B
"Y × V = {(a, b) | a ∈ Y ∧ b ∈ V}","The Cartesian product Y × V is the set of all ordered pairs (a, b) where a ∈ Y and b ∈ V"
(A ∪ Q)ᶜ = Aᶜ ∩ Qᶜ,The complement of the union of A and Q equals the intersection of their complements
S ∪ (S ∩ R) = S,Sbsorption law for union: S ∪ (S ∩ R) = S
Bijective (f : Z → B),f is bijective from Z to B
Uᶜ,The complement of set U
B ∩ X,The intersection of sets B and X
b ∈ Z ∩ X ↔ (b ∈ Z ∧ b ∈ X),b belongs to the intersection of Z and X if and only if b is in both Z and X
b ∈ A ∪ Q ↔ (b ∈ A ∨ b ∈ Q),b is in A union Q if and only if b is in A or b is in Q
"Injective f → ∀ x y ∈ T, f x = f y → x = y","If f is injective, then for all x, y in T, f(x) = f(y) implies x = y"
V ∩ (U ∪ C) = (V ∩ U) ∪ (V ∩ C),Intersection distributes over union: V ∩ (U ∪ C) = (V ∩ U) ∪ (V ∩ C)
Q \ U,The set difference Q minus U
m ∈ T ∪ R ↔ (m ∈ T ∨ m ∈ R),m is in T union R if and only if m is in T or m is in R
a ∈ C ∩ Y ↔ (a ∈ C ∧ a ∈ Y),a belongs to the intersection of C and Y if and only if a is in both C and Y
f '' A ⊆ U,The image of A under f is a subset of U
"∀ x ∈ A, P x","For all x in A, property P holds"
Q ⊇ A,Set Q is a superset of set A
W ⊇ R,Set W is a superset of set R
f '' T ⊆ X,The image of T under f is a subset of X
Surjective (f : U → X),f is surjective from U to X
S ∩ T,The intersection of sets S and T
"∀ S ⊆ B, Finite S","For all subsets S of B, S is finite"
"∃ x ∈ S, Q x",There exists an element x in S such that property Q holds
"Injective f → ∀ x y ∈ Z, f x = f y → x = y","If f is injective, then for all x, y in Z, f(x) = f(y) implies x = y"
U ∪ (U ∩ V) = U,Ubsorption law for union: U ∪ (U ∩ V) = U
X ⊆ V,Set X is a subset of set V
w ∈ B ∪ Q ↔ (w ∈ B ∨ w ∈ Q),w is in B union Q if and only if w is in B or w is in Q
(Q ∪ Q)ᶜ = Qᶜ ∩ Qᶜ,The complement of the union of Q and Q equals the intersection of their complements
"∃! x ∈ V, P x",There exists a unique element x in V satisfying P
P ⊆ V,Set P is a subset of set V
x ∈ Vᶜ ↔ x ∉ V,x is in the complement of V if and only if x is not in V
U ∪ (U ∩ U) = U,Ubsorption law for union: U ∪ (U ∩ U) = U
f '' Y,The image of set Y under function f
V ⊆ U,V is contained in U
C ∩ S,The intersection of sets C and S
z ∈ T ∩ W ↔ (z ∈ T ∧ z ∈ W),z belongs to the intersection of T and W if and only if z is in both T and W
(Y ∪ Q)ᶜ = Yᶜ ∩ Qᶜ,The complement of the union of Y and Q equals the intersection of their complements
∅ ⊆ X,The empty set is a subset of every set X
"{n : ℕ | ∃ k, n = 2 * k}",The set of all even natural numbers
"∀ x ∈ Q, P x → Q x","For every element x in Q, if P(x) then Q(x)"
U = C ↔ (U ⊆ C ∧ C ⊆ U),Two sets are equal if and only if they are subsets of each other
B ⊆ R,B is contained in R
∅ ∈ 𝒫(C),The empty set is in the power set of C
U ⊇ R,Set U is a superset of set R
R ⊆ Y,Set R is a subset of set Y
"C × C = {(a, b) | a ∈ C ∧ b ∈ C}","The Cartesian product C × C is the set of all ordered pairs (a, b) where a ∈ C and b ∈ C"
"∀ x, x ∉ ∅",No element belongs to the empty set
"∀ S, S ⊆ U → S ∈ 𝒫(U)",Every subset of U is an element of the power set of U
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
C ⊆ Q,C is contained in Q
T ∩ (T ∪ R) = T,Tbsorption law for intersection: T ∩ (T ∪ R) = T
U ∈ 𝒫(U),U is in its own power set
k ∈ X,The element k belongs to set X
"C × U = {(a, b) | a ∈ C ∧ b ∈ U}","The Cartesian product C × U is the set of all ordered pairs (a, b) where a ∈ C and b ∈ U"
A ∩ U,The intersection of sets A and U
A ∪ (A ∩ Y) = A,Absorption law for union: A ∪ (A ∩ Y) = A
Xijective (f : P → X),f is bijective from P to X
Tijective (f : S → T),f is bijective from S to T
Z ∪ U,The union of sets Z and U
(Vᶜ)ᶜ = V,Double complement of V is V
{x | P x},The set of all elements x such that property P holds
(P ∩ W)ᶜ = Pᶜ ∪ Wᶜ,The complement of the intersection of P and W equals the union of their complements
{x : ℝ | x > 0},The set of all positive real numbers
"∀ x, x ∉ ∅",The empty set has no elements
n ∈ V,The element n belongs to set V
x ∈ Q,The element x belongs to set Q
A ∪ Q,The union of sets A and Q
(A ∩ T)ᶜ = Aᶜ ∪ Tᶜ,The complement of the intersection of A and T equals the union of their complements
U ∩ (A ∪ B) = (U ∩ A) ∪ (U ∩ B),Intersection distributes over union: U ∩ (A ∪ B) = (U ∩ A) ∪ (U ∩ B)
"∃ x ∈ Z, Q x",There exists an element x in Z such that property Q holds
Q ⊇ Y,Set Q is a superset of set Y
∅ ⊆ U,The empty set is a subset of every set U
T \ C,The set difference T minus C
Rᶜ,The complement of set R
"∃ S ⊆ V, S ≠ ∅",There exists a subset S of V that is non-empty
{n : ℤ | n < 10},The set of all integers less than 10
f : Y → Z,f maps Y into Z
u ∈ Y ∪ U ↔ (u ∈ Y ∨ u ∈ U),u is in Y union U if and only if u is in Y or u is in U
n ∈ C ∩ P ↔ (n ∈ C ∧ n ∈ P),n belongs to the intersection of C and P if and only if n is in both C and P
R ∩ C,The intersection of sets R and C
"C × S = {(a, b) | a ∈ C ∧ b ∈ S}","The Cartesian product C × S is the set of all ordered pairs (a, b) where a ∈ C and b ∈ S"
Aᶜ,The complement of set A
T ∩ (T ∪ U) = T,Tbsorption law for intersection: T ∩ (T ∪ U) = T
"∀ x ∈ R, P x → Q x","For every element x in R, if P(x) then Q(x)"
Disjoint Y P → Y ∩ P = ∅,"If Y and P are disjoint, then Y ∩ P = ∅"
W = A ↔ (W ⊆ A ∧ A ⊆ W),Two sets are equal if and only if they are subsets of each other
R ⊆ Y,Set R is a subset of set Y
{n : ℤ | n < 10},The set of all integers less than 10
B \ Y,The set difference B minus Y
"∃ S ⊆ C, S ≠ ∅",There exists a subset S of C that is non-empty
v ∈ R ∪ Y ↔ (v ∈ R ∨ v ∈ Y),v is in R union Y if and only if v is in R or v is in Y
𝒫(C) = {S | S ⊆ C},The power set of C is the set of all subsets of C
Rijective (f : P → R),f is bijective from P to R
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
s ∈ P ∩ Y ↔ (s ∈ P ∧ s ∈ Y),s belongs to the intersection of P and Y if and only if s is in both P and Y
y ∉ X,y is not a member of set X
𝒫(P) = {S | S ⊆ P},The power set of P is the set of all subsets of P
W ∩ T,The intersection of sets W and T
𝒫(Z) = {S | S ⊆ Z},The power set of Z is the set of all subsets of Z
n ∈ V ∪ R ↔ (n ∈ V ∨ n ∈ R),n is in V union R if and only if n is in V or n is in R
Q ∩ (W ∪ C) = (Q ∩ W) ∪ (Q ∩ C),Intersection distributes over union: Q ∩ (W ∪ C) = (Q ∩ W) ∪ (Q ∩ C)
Q ⊆ U,Q is included in U
T ⊆ T ∪ A,T is a subset of the union of T and A
"Z = A ↔ ∀ x, x ∈ Z ↔ x ∈ A",Sets Z and A are equal if they have the same elements
v ∈ X ∩ S ↔ (v ∈ X ∧ v ∈ S),v belongs to the intersection of X and S if and only if v is in both X and S
t ∈ S ∩ A ↔ (t ∈ S ∧ t ∈ A),t belongs to the intersection of S and A if and only if t is in both S and A
∅ ⊆ U,The empty set is a subset of every set U
U ∈ 𝒫(U),U is in its own power set
V ∩ (V ∪ S) = V,Vbsorption law for intersection: V ∩ (V ∪ S) = V
Z ∪ W,The union of sets Z and W
s ∈ V ∪ A ↔ (s ∈ V ∨ s ∈ A),s is in V union A if and only if s is in V or s is in A
v ∉ R,v is not a member of set R
R ⊆ U ∧ Infinite R → Infinite U,"If R ⊆ U and R is infinite, then U is infinite"
v ∈ W ∩ U ↔ (v ∈ W ∧ v ∈ U),v belongs to the intersection of W and U if and only if v is in both W and U
"T × Q = {(a, b) | a ∈ T ∧ b ∈ Q}","The Cartesian product T × Q is the set of all ordered pairs (a, b) where a ∈ T and b ∈ Q"
"∀ x ∈ U, P x","For all x in U, property P holds"
Y ∩ S,The intersection of sets Y and S
C ⊆ univ,Every set C is a subset of the universal set
Y = U ↔ (Y ⊆ U ∧ U ⊆ Y),Two sets are equal if and only if they are subsets of each other
"{n : ℤ | ∃ k, n = 2 * k + 1}",The set of all odd integers
Surjective (f : V → X),f is surjective from V to X
Tijective (f : Y → T),f is bijective from Y to T
"U × W = {(a, b) | a ∈ U ∧ b ∈ W}","The Cartesian product U × W is the set of all ordered pairs (a, b) where a ∈ U and b ∈ W"
"∀ x, x ∉ ∅",The empty set has no elements
C ∩ W,The intersection of sets C and W
(Q ∪ W)ᶜ = Qᶜ ∩ Wᶜ,The complement of the union of Q and W equals the intersection of their complements
f : W → S,f maps W into S
T ∩ (X ∪ B) = (T ∩ X) ∪ (T ∩ B),Intersection distributes over union: T ∩ (X ∪ B) = (T ∩ X) ∪ (T ∩ B)
Z ⊆ S,Set Z is a subset of set S
"∃ x ∈ B, Q x",There exists an element x in B such that property Q holds
w ∈ U ∪ T ↔ (w ∈ U ∨ w ∈ T),w is in U union T if and only if w is in U or w is in T
Z ⊆ V ∧ V ⊆ Q → Z ⊆ Q,"If Z ⊆ V and V ⊆ Q, then Z ⊆ Q"
S ∪ X,The union of sets S and X
y ∈ R ∩ Y ↔ (y ∈ R ∧ y ∈ Y),y belongs to the intersection of R and Y if and only if y is in both R and Y
y ∈ R,The element y belongs to set R
"{n : ℕ | ∃ k, n = 2 * k}",The set of all even natural numbers
{x : ℝ | x > 0},The set of all positive real numbers
Y ⊆ A,Set Y is a subset of set A
Disjoint T Tᶜ,T and its complement are disjoint
P ∪ (U ∩ Q) = (P ∪ U) ∩ (P ∪ Q),Union distributes over intersection: P ∪ (U ∩ Q) = (P ∪ U) ∩ (P ∪ Q)
c ∈ P ∩ T ↔ (c ∈ P ∧ c ∈ T),c belongs to the intersection of P and T if and only if c is in both P and T
R ⊇ Y,Set R is a superset of set Y
A ∈ 𝒫(A),A is in its own power set
f ⁻¹' X,The preimage of set X under function f
f '' W,The image of set W under function f
Y = Y ↔ (Y ⊆ Y ∧ Y ⊆ Y),Two sets are equal if and only if they are subsets of each other
"∀ S, S ⊆ P → S ∈ 𝒫(P)",Every subset of P is an element of the power set of P
"Z = T ↔ ∀ x, x ∈ Z ↔ x ∈ T",Sets Z and T are equal if they have the same elements
B ∪ A,The union of sets B and A
w ∈ V,The element w belongs to set V
Z ∩ (R ∪ Y) = (Z ∩ R) ∪ (Z ∩ Y),Intersection distributes over union: Z ∩ (R ∪ Y) = (Z ∩ R) ∪ (Z ∩ Y)
Bᶜ,The complement of set B
Z ∩ (Z ∪ B) = Z,Zbsorption law for intersection: Z ∩ (Z ∪ B) = Z
A × S,The Cartesian product of A and S
"∃ x ∈ U, Q x",There exists an element x in U such that property Q holds
X ∪ (X ∩ R) = X,Xbsorption law for union: X ∪ (X ∩ R) = X
W ⊇ X,Set W is a superset of set X
Yᶜ,The complement of set Y
C ⊇ T,Set C is a superset of set T
Y ∪ W,The union of sets Y and W
Y ∩ V,The intersection of sets Y and V
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
"∃ S ⊆ P, S ≠ ∅",There exists a subset S of P that is non-empty
A ∪ (Z ∩ R) = (A ∪ Z) ∩ (A ∪ R),Union distributes over intersection: A ∪ (Z ∩ R) = (A ∪ Z) ∩ (A ∪ R)
Y ⊆ Z ∧ Z ⊆ Y → Y = Z,"If Y is a subset of Z and Z is a subset of Y, then Y equals Z"
n ∈ C ∩ Y ↔ (n ∈ C ∧ n ∈ Y),n belongs to the intersection of C and Y if and only if n is in both C and Y
"X × T = {(a, b) | a ∈ X ∧ b ∈ T}","The Cartesian product X × T is the set of all ordered pairs (a, b) where a ∈ X and b ∈ T"
n ∈ T \ X,n is in T but not in X
V ∪ P,The union of sets V and P
T ⊇ W,Set T is a superset of set W
P ∪ (Z ∩ V) = (P ∪ Z) ∩ (P ∪ V),Union distributes over intersection: P ∪ (Z ∩ V) = (P ∪ Z) ∩ (P ∪ V)
m ∈ Z,The element m belongs to set Z
X ∩ (S ∪ A) = (X ∩ S) ∪ (X ∩ A),Intersection distributes over union: X ∩ (S ∪ A) = (X ∩ S) ∪ (X ∩ A)
Z ∪ T,The union of sets Z and T
Z ⊆ X,Every element of Z belongs to X
a ∈ Z ∩ T ↔ (a ∈ Z ∧ a ∈ T),a belongs to the intersection of Z and T if and only if a is in both Z and T
Z ∈ 𝒫(Z),Z is in its own power set
U × T,The Cartesian product of U and T
"∃! x ∈ R, P x",There exists a unique element x in R satisfying P
v ∈ V,The element v belongs to set V
z ∉ B,z is not a member of set B
{n : ℕ | n > 5},The set of all natural numbers greater than 5
"∀ S ⊆ U, Finite S","For all subsets S of U, S is finite"
y ∈ R ∩ T ↔ (y ∈ R ∧ y ∈ T),y belongs to the intersection of R and T if and only if y is in both R and T
x ∈ Uᶜ ↔ x ∉ U,x is in the complement of U if and only if x is not in U
A ∪ P,The union of sets A and P
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
a ∈ P,The element a belongs to set P
B ⊆ C,Set B is a subset of set C
"∃! x ∈ R, P x",There exists a unique element x in R satisfying P
V ∩ P,The intersection of sets V and P
(R ∪ R)ᶜ = Rᶜ ∩ Rᶜ,The complement of the union of R and R equals the intersection of their complements
w ∈ S ∩ V ↔ (w ∈ S ∧ w ∈ V),w belongs to the intersection of S and V if and only if w is in both S and V
t ∈ Y ∪ C ↔ (t ∈ Y ∨ t ∈ C),t is in Y union C if and only if t is in Y or t is in C
Z ∩ (S ∪ R) = (Z ∩ S) ∪ (Z ∩ R),Intersection distributes over union: Z ∩ (S ∪ R) = (Z ∩ S) ∪ (Z ∩ R)
S ∩ (S ∪ S) = (S ∩ S) ∪ (S ∩ S),Intersection distributes over union: S ∩ (S ∪ S) = (S ∩ S) ∪ (S ∩ S)
{n : ℕ | n > 5},The set of all natural numbers greater than 5
{x : ℝ | x > 0},The set of all positive real numbers
T ⊆ Q,T is included in Q
∅ ⊆ V,The empty set is a subset of every set V
A ⊇ V,Set A is a superset of set V
Disjoint T W → T ∩ W = ∅,"If T and W are disjoint, then T ∩ W = ∅"
"∀ S ⊆ Y, Finite S","For all subsets S of Y, S is finite"
Zᶜ,The complement of set Z
k ∈ W,The element k belongs to set W
"∀ x ∈ R, P x","For all x in R, property P holds"
B \ C,The set difference B minus C
f : C → P,f maps C into P
R ⊆ W ∧ W ⊆ Y → R ⊆ Y,"If R ⊆ W and W ⊆ Y, then R ⊆ Y"
b ∈ C \ P,b is in C but not in P
"∃ S ⊆ Y, S ≠ ∅",There exists a subset S of Y that is non-empty
"∀ S, S ⊆ Q → S ∈ 𝒫(Q)",Every subset of Q is an element of the power set of Q
Q ⊆ C ∧ C ⊆ Q → Q = C,"If Q is a subset of C and C is a subset of Q, then Q equals C"
c ∉ A,c is not a member of set A
f : V → W,f maps V into W
Y × B,The Cartesian product of Y and B
Y ∩ U,The intersection of sets Y and U
Y ∩ (P ∪ Q) = (Y ∩ P) ∪ (Y ∩ Q),Intersection distributes over union: Y ∩ (P ∪ Q) = (Y ∩ P) ∪ (Y ∩ Q)
"∀ x, x ∉ ∅",The empty set has no elements
z ∈ X ∪ P ↔ (z ∈ X ∨ z ∈ P),z is in X union P if and only if z is in X or z is in P
W ∩ (W ∪ Z) = W,Wbsorption law for intersection: W ∩ (W ∪ Z) = W
P ∪ T,The union of sets P and T
x ∈ Xᶜ ↔ x ∉ X,x is in the complement of X if and only if x is not in X
X ∪ (Q ∩ V) = (X ∪ Q) ∩ (X ∪ V),Union distributes over intersection: X ∪ (Q ∩ V) = (X ∪ Q) ∩ (X ∪ V)
𝒫(Y) = {S | S ⊆ Y},The power set of Y is the set of all subsets of Y
"∀ x, x ∉ ∅",No element belongs to the empty set
W ∪ (W ∩ P) = W,Wbsorption law for union: W ∪ (W ∩ P) = W
Z ∪ (Z ∩ R) = Z,Zbsorption law for union: Z ∪ (Z ∩ R) = Z
Disjoint Q S → Q ∩ S = ∅,"If Q and S are disjoint, then Q ∩ S = ∅"
R × B,The Cartesian product of R and B
{x | P x},The set of all elements x such that property P holds
n ∈ R ∩ A ↔ (n ∈ R ∧ n ∈ A),n belongs to the intersection of R and A if and only if n is in both R and A
Y \ U,The set difference Y minus U
V \ Z,The set difference V minus Z
S ⊆ Z,S is contained in Z
"Q = Z ↔ ∀ x, x ∈ Q ↔ x ∈ Z",Sets Q and Z are equal if they have the same elements
"∀ S ⊆ V, Finite S","For all subsets S of V, S is finite"
f : V → C,f maps V into C
"∀ S, S ⊆ A → S ∈ 𝒫(A)",Every subset of A is an element of the power set of A
R ⊆ T ∧ Infinite R → Infinite T,"If R ⊆ T and R is infinite, then T is infinite"
f '' T,The image of set T under function f
Z ∪ (Z ∩ B) = Z,Zbsorption law for union: Z ∪ (Z ∩ B) = Z
U ∪ Q,The union of sets U and Q
c ∉ S,c is not a member of set S
"∃ S ⊆ U, S ≠ ∅",There exists a subset S of U that is non-empty
B ⊇ P,Set B is a superset of set P
C = W ↔ (C ⊆ W ∧ W ⊆ C),Two sets are equal if and only if they are subsets of each other
v ∈ S ∩ A ↔ (v ∈ S ∧ v ∈ A),v belongs to the intersection of S and A if and only if v is in both S and A
S ⊆ S ∪ U,S is a subset of the union of S and U
n ∈ U \ C,n is in U but not in C
(S ∩ W)ᶜ = Sᶜ ∪ Wᶜ,The complement of the intersection of S and W equals the union of their complements
"∃ S ⊆ Y, S ≠ ∅",There exists a subset S of Y that is non-empty
Q ⊆ P,Every element of Q belongs to P
P ⊇ R,Set P is a superset of set R
V ⊆ Z,V is contained in Z
v ∈ S,The element v belongs to set S
V ⊆ V ∧ Infinite V → Infinite V,"If V ⊆ V and V is infinite, then V is infinite"
R \ Q,The set difference R minus Q
Rᶜ,The complement of set R
P ∪ U,The union of sets P and U
Z ⊇ P,Set Z is a superset of set P
X = A ↔ (X ⊆ A ∧ A ⊆ X),Two sets are equal if and only if they are subsets of each other
P ∪ (P ∩ T) = P,Pbsorption law for union: P ∪ (P ∩ T) = P
U ∈ 𝒫(U),U is in its own power set
k ∈ C,The element k belongs to set C
T ⊇ S,Set T is a superset of set S
s ∈ A ∪ S ↔ (s ∈ A ∨ s ∈ S),s is in A union S if and only if s is in A or s is in S
b ∈ Y,The element b belongs to set Y
U ⊇ C,Set U is a superset of set C
Z ∪ A,The union of sets Z and A
b ∈ Aᶜ ↔ b ∉ A,b is in the complement of A if and only if b is not in A
X ∩ B,The intersection of sets X and B
u ∈ T ∪ Y ↔ (u ∈ T ∨ u ∈ Y),u is in T union Y if and only if u is in T or u is in Y
∅ ∈ 𝒫(Y),The empty set is in the power set of Y
S ⊆ X,Every element of S belongs to X
X \ Q,The set difference X minus Q
