lean_syntax,natural_language
w ∈ Yᶜ ↔ w ∉ Y,w is in the complement of Y if and only if w is not in Y
T ∩ W,The intersection of sets T and W
B \ R,The set difference B minus R
R ∪ (Y ∩ Z) = (R ∪ Y) ∩ (R ∪ Z),Union distributes over intersection: R ∪ (Y ∩ Z) = (R ∪ Y) ∩ (R ∪ Z)
b ∈ T ∪ R ↔ (b ∈ T ∨ b ∈ R),b is in T union R if and only if b is in T or b is in R
"Injective f → ∀ x y ∈ C, f x = f y → x = y","If f is injective, then for all x, y in C, f(x) = f(y) implies x = y"
w ∈ X \ Y,w is in X but not in Y
∅ ⊆ P,The empty set is a subset of every set P
Surjective (f : T → B),f is surjective from T to B
P ⊆ T ∧ T ⊆ T → P ⊆ T,"If P ⊆ T and T ⊆ T, then P ⊆ T"
f ⁻¹' P,The preimage of set P under function f
k ∈ S \ Q,k is in S but not in Q
Surjective (f : A → R),f is surjective from A to R
S ⊆ B,S is included in B
v ∉ P,v is not a member of set P
"∀ x, x ∉ ∅",The empty set has no elements
"∃ x ∈ A, Q x",There exists an element x in A such that property Q holds
V ∪ X,The union of sets V and X
Injective (f : V → Q),f is injective on V
"∃! x ∈ R, P x",There exists a unique element x in R satisfying P
A ⊆ X,A is contained in X
v ∈ Q ∪ P ↔ (v ∈ Q ∨ v ∈ P),v is in Q union P if and only if v is in Q or v is in P
Qᶜ,The complement of set Q
(R ∪ U)ᶜ = Rᶜ ∩ Uᶜ,The complement of the union of R and U equals the intersection of their complements
f : Z → X,f maps Z into X
"∀ S, S ⊆ R → S ∈ 𝒫(R)",Every subset of R is an element of the power set of R
T ∪ (Z ∩ R) = (T ∪ Z) ∩ (T ∪ R),Union distributes over intersection: T ∪ (Z ∩ R) = (T ∪ Z) ∩ (T ∪ R)
Z ∩ (B ∪ X) = (Z ∩ B) ∪ (Z ∩ X),Intersection distributes over union: Z ∩ (B ∪ X) = (Z ∩ B) ∪ (Z ∩ X)
W ⊆ V,Every element of W belongs to V
"∀ x ∈ V, P x → Q x","For every element x in V, if P(x) then Q(x)"
Injective (f : T → W),f is injective on T
Rᶜ,The complement of set R
"∀ x ∈ A, P x","For all x in A, property P holds"
Z ⊇ X,Set Z is a superset of set X
W ⊆ B ∧ B ⊆ Z → W ⊆ Z,"If W ⊆ B and B ⊆ Z, then W ⊆ Z"
x ∈ Vᶜ ↔ x ∉ V,x is in the complement of V if and only if x is not in V
{x ∈ A | Q x},The set of all elements in A satisfying property Q
w ∈ Vᶜ ↔ w ∉ V,w is in the complement of V if and only if w is not in V
Disjoint S Sᶜ,S and its complement are disjoint
W ⊇ X,Set W is a superset of set X
f '' W,The image of set W under function f
A ⊇ U,Set A is a superset of set U
T ∩ (T ∪ P) = T,Tbsorption law for intersection: T ∩ (T ∪ P) = T
v ∈ Z ∪ S ↔ (v ∈ Z ∨ v ∈ S),v is in Z union S if and only if v is in Z or v is in S
X ∩ B,The intersection of sets X and B
Finite Q ∧ Finite V → Finite (Q ∪ V),"If Q is finite and V is finite, then Q ∪ V is finite"
z ∈ Y ∪ Z ↔ (z ∈ Y ∨ z ∈ Z),z is in Y union Z if and only if z is in Y or z is in Z
Tᶜ,The complement of set T
B ⊆ P,Every element of B belongs to P
C ⊆ B → Bᶜ ⊆ Cᶜ,"If C ⊆ B, then Bᶜ ⊆ Cᶜ"
"∀ x ∈ Q, P x","For all x in Q, property P holds"
S \ B,The set difference S minus B
Z ∩ (Y ∪ Q) = (Z ∩ Y) ∪ (Z ∩ Q),Intersection distributes over union: Z ∩ (Y ∪ Q) = (Z ∩ Y) ∪ (Z ∩ Q)
y ∉ Q,y is not a member of set Q
Z ⊆ V → Vᶜ ⊆ Zᶜ,"If Z ⊆ V, then Vᶜ ⊆ Zᶜ"
"∀ x, x ∉ ∅",No element belongs to the empty set
t ∈ W,The element t belongs to set W
"∀ x ∈ A, P x","For all x in A, property P holds"
{n : ℤ | n < 10},The set of all integers less than 10
R ⊆ S → Sᶜ ⊆ Rᶜ,"If R ⊆ S, then Sᶜ ⊆ Rᶜ"
W ⊆ U,Set W is a subset of set U
U ∪ (B ∩ S) = (U ∪ B) ∩ (U ∪ S),Union distributes over intersection: U ∪ (B ∩ S) = (U ∪ B) ∩ (U ∪ S)
Finite A ∧ Finite V → Finite (A ∪ V),"If A is finite and V is finite, then A ∪ V is finite"
c ∈ X ∩ Y ↔ (c ∈ X ∧ c ∈ Y),c belongs to the intersection of X and Y if and only if c is in both X and Y
"∀ x, x ∈ univ",The universal set contains all elements
a ∉ C,a is not a member of set C
Bijective (f : Z → B),f is bijective from Z to B
Q ⊆ V ∧ Infinite Q → Infinite V,"If Q ⊆ V and Q is infinite, then V is infinite"
"S × S = {(a, b) | a ∈ S ∧ b ∈ S}","The Cartesian product S × S is the set of all ordered pairs (a, b) where a ∈ S and b ∈ S"
"∃ S ⊆ B, S ≠ ∅",There exists a subset S of B that is non-empty
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
A ∪ T,The union of sets A and T
Z × U,The Cartesian product of Z and U
U \ Q,The set difference U minus Q
Y ∪ (Y ∩ W) = Y,Ybsorption law for union: Y ∪ (Y ∩ W) = Y
"∀ x ∈ B, P x → Q x","For every element x in B, if P(x) then Q(x)"
P ⊇ W,Set P is a superset of set W
{n : ℤ | n < 10},The set of all integers less than 10
{x : ℝ | x > 0},The set of all positive real numbers
t ∉ A,t is not a member of set A
k ∉ X,k is not a member of set X
C ⊆ Z,Every element of C belongs to Z
V ⊇ T,Set V is a superset of set T
{x | P x},The set of all elements x such that property P holds
Aᶜ,The complement of set A
A ∪ P,The union of sets A and P
"Y × Y = {(a, b) | a ∈ Y ∧ b ∈ Y}","The Cartesian product Y × Y is the set of all ordered pairs (a, b) where a ∈ Y and b ∈ Y"
W ⊇ R,Set W is a superset of set R
{x : ℝ | x > 0},The set of all positive real numbers
"∀ x ∈ T, P x → Q x","For every element x in T, if P(x) then Q(x)"
Finite Y ∧ Finite R → Finite (Y ∪ R),"If Y is finite and R is finite, then Y ∪ R is finite"
V ⊆ V ∧ Infinite V → Infinite V,"If V ⊆ V and V is infinite, then V is infinite"
Y ∩ U,The intersection of sets Y and U
v ∈ Q ∩ W ↔ (v ∈ Q ∧ v ∈ W),v belongs to the intersection of Q and W if and only if v is in both Q and W
∅ ∈ 𝒫(B),The empty set is in the power set of B
S ⊇ C,Set S is a superset of set C
n ∉ R,n is not a member of set R
W ⊆ P,W is included in P
Y ⊇ Q,Set Y is a superset of set Q
U ⊇ Y,Set U is a superset of set Y
Xijective (f : T → X),f is bijective from T to X
x ∈ C ∪ U ↔ (x ∈ C ∨ x ∈ U),x is in C union U if and only if x is in C or x is in U
Z ∩ V,The intersection of sets Z and V
Finite R ∧ Finite T → Finite (R ∪ T),"If R is finite and T is finite, then R ∪ T is finite"
T ∪ B,The union of sets T and B
X ∪ (X ∩ R) = X,Xbsorption law for union: X ∪ (X ∩ R) = X
W ∪ (W ∩ P) = W,Wbsorption law for union: W ∪ (W ∩ P) = W
"∀ x ∈ A, P x","For all x in A, property P holds"
k ∈ B ∩ V ↔ (k ∈ B ∧ k ∈ V),k belongs to the intersection of B and V if and only if k is in both B and V
W ⊇ P,Set W is a superset of set P
∅ ⊆ B,The empty set is a subset of every set B
x ∈ Uᶜ ↔ x ∉ U,x is in the complement of U if and only if x is not in U
y ∈ R ∩ T ↔ (y ∈ R ∧ y ∈ T),y belongs to the intersection of R and T if and only if y is in both R and T
"U × U = {(a, b) | a ∈ U ∧ b ∈ U}","The Cartesian product U × U is the set of all ordered pairs (a, b) where a ∈ U and b ∈ U"
"∀ x, x ∉ ∅",The empty set has no elements
y ∈ R,The element y belongs to set R
V ⊆ P,V is contained in P
Y ∪ (X ∩ Y) = (Y ∪ X) ∩ (Y ∪ Y),Union distributes over intersection: Y ∪ (X ∩ Y) = (Y ∪ X) ∩ (Y ∪ Y)
"∀ x ∈ Z, P x → Q x","For every element x in Z, if P(x) then Q(x)"
Q ∩ X,The intersection of sets Q and X
t ∈ Vᶜ ↔ t ∉ V,t is in the complement of V if and only if t is not in V
{n : ℤ | n < 10},The set of all integers less than 10
v ∈ Bᶜ ↔ v ∉ B,v is in the complement of B if and only if v is not in B
"∀ S ⊆ Y, Finite S","For all subsets S of Y, S is finite"
V ⊆ U,V is contained in U
R ⊆ U ∧ Infinite R → Infinite U,"If R ⊆ U and R is infinite, then U is infinite"
R ⊆ R ∪ X,R is a subset of the union of R and X
Q \ T,The set difference Q minus T
A ∪ Q,The union of sets A and Q
X ⊆ T,Set X is a subset of set T
"Y = S ↔ ∀ x, x ∈ Y ↔ x ∈ S",Sets Y and S are equal if they have the same elements
(T ∩ S)ᶜ = Tᶜ ∪ Sᶜ,The complement of the intersection of T and S equals the union of their complements
A ⊆ T,Set A is a subset of set T
U = C ↔ (U ⊆ C ∧ C ⊆ U),Two sets are equal if and only if they are subsets of each other
b ∈ Y,The element b belongs to set Y
k ∈ Zᶜ ↔ k ∉ Z,k is in the complement of Z if and only if k is not in Z
v ∉ A,v is not a member of set A
∅ ⊆ A,The empty set is a subset of every set A
n ∉ Z,n is not a member of set Z
Z \ Y,The set difference Z minus Y
𝒫(X) = {S | S ⊆ X},The power set of X is the set of all subsets of X
R ∪ S,The union of sets R and S
V ⊆ A ∧ A ⊆ V → V = A,"If V is a subset of A and A is a subset of V, then V equals A"
P ∩ (R ∪ P) = (P ∩ R) ∪ (P ∩ P),Intersection distributes over union: P ∩ (R ∪ P) = (P ∩ R) ∪ (P ∩ P)
(Z ∩ X)ᶜ = Zᶜ ∪ Xᶜ,The complement of the intersection of Z and X equals the union of their complements
T \ C,The set difference T minus C
W ∪ U,The union of sets W and U
b ∈ Aᶜ ↔ b ∉ A,b is in the complement of A if and only if b is not in A
b ∈ U,The element b belongs to set U
"A × Q = {(a, b) | a ∈ A ∧ b ∈ Q}","The Cartesian product A × Q is the set of all ordered pairs (a, b) where a ∈ A and b ∈ Q"
"∃! x ∈ P, P x",There exists a unique element x in P satisfying P
C ∩ (C ∪ W) = C,Cbsorption law for intersection: C ∩ (C ∪ W) = C
Z = X ↔ (Z ⊆ X ∧ X ⊆ Z),Two sets are equal if and only if they are subsets of each other
a ∈ U ∪ Y ↔ (a ∈ U ∨ a ∈ Y),a is in U union Y if and only if a is in U or a is in Y
Wᶜ,The complement of set W
v ∈ R ∪ Y ↔ (v ∈ R ∨ v ∈ Y),v is in R union Y if and only if v is in R or v is in Y
X ⊆ X ∪ S,X is a subset of the union of X and S
Q ∪ (A ∩ S) = (Q ∪ A) ∩ (Q ∪ S),Union distributes over intersection: Q ∪ (A ∩ S) = (Q ∪ A) ∩ (Q ∪ S)
A ∪ (A ∩ Y) = A,Absorption law for union: A ∪ (A ∩ Y) = A
Q ⊆ X → Xᶜ ⊆ Qᶜ,"If Q ⊆ X, then Xᶜ ⊆ Qᶜ"
Z ⊆ V ∧ V ⊆ Q → Z ⊆ Q,"If Z ⊆ V and V ⊆ Q, then Z ⊆ Q"
t ∈ X ∪ A ↔ (t ∈ X ∨ t ∈ A),t is in X union A if and only if t is in X or t is in A
t ∈ R \ S,t is in R but not in S
"∀ x, x ∉ ∅",The empty set has no elements
P ∪ (P ∩ T) = P,Pbsorption law for union: P ∪ (P ∩ T) = P
c ∈ R,The element c belongs to set R
"{n : ℤ | ∃ k, n = 2 * k + 1}",The set of all odd integers
𝒫(R) = {S | S ⊆ R},The power set of R is the set of all subsets of R
(A ∪ Q)ᶜ = Aᶜ ∩ Qᶜ,The complement of the union of A and Q equals the intersection of their complements
C ⊇ B,Set C is a superset of set B
f : S → T,f maps S into T
{x ∈ Z | Q x},The set of all elements in Z satisfying property Q
"R = B ↔ ∀ x, x ∈ R ↔ x ∈ B",Sets R and B are equal if they have the same elements
a ∈ X ∩ A ↔ (a ∈ X ∧ a ∈ A),a belongs to the intersection of X and A if and only if a is in both X and A
T ∩ Q,The intersection of sets T and Q
"∀ x, x ∈ univ",Every element belongs to the universal set
s ∈ A ∪ S ↔ (s ∈ A ∨ s ∈ S),s is in A union S if and only if s is in A or s is in S
Surjective (f : V → S),f is surjective from V to S
"{n : ℕ | ∃ k, n = 2 * k}",The set of all even natural numbers
w ∈ S ∩ V ↔ (w ∈ S ∧ w ∈ V),w belongs to the intersection of S and V if and only if w is in both S and V
𝒫(Y) = {S | S ⊆ Y},The power set of Y is the set of all subsets of Y
B \ X,The set difference B minus X
"Injective f → ∀ x y ∈ A, f x = f y → x = y","If f is injective, then for all x, y in A, f(x) = f(y) implies x = y"
Y ∩ T,The intersection of sets Y and T
W ∩ C,The intersection of sets W and C
Y ⊆ univ,Every set Y is a subset of the universal set
f '' X,The image of set X under function f
X ∩ (W ∪ S) = (X ∩ W) ∪ (X ∩ S),Intersection distributes over union: X ∩ (W ∪ S) = (X ∩ W) ∪ (X ∩ S)
V ⊆ Y ∧ Y ⊆ V → V = Y,"If V is a subset of Y and Y is a subset of V, then V equals Y"
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
"{n : ℕ | ∃ k, n = 2 * k}",The set of all even natural numbers
b ∈ W \ X,b is in W but not in X
Pᶜ,The complement of set P
m ∈ V \ P,m is in V but not in P
T ∩ U,The intersection of sets T and U
v ∈ X ∩ S ↔ (v ∈ X ∧ v ∈ S),v belongs to the intersection of X and S if and only if v is in both X and S
Y ∪ W,The union of sets Y and W
P ∪ (S ∩ X) = (P ∪ S) ∩ (P ∪ X),Union distributes over intersection: P ∪ (S ∩ X) = (P ∪ S) ∩ (P ∪ X)
Y = U ↔ (Y ⊆ U ∧ U ⊆ Y),Two sets are equal if and only if they are subsets of each other
n ∈ V,The element n belongs to set V
"{n : ℤ | ∃ k, n = 2 * k + 1}",The set of all odd integers
Tᶜ,The complement of set T
X ∩ (W ∪ B) = (X ∩ W) ∪ (X ∩ B),Intersection distributes over union: X ∩ (W ∪ B) = (X ∩ W) ∪ (X ∩ B)
"∀ x, x ∉ ∅",The empty set has no elements
X ⊆ T,Every element of X belongs to T
f : P → C,f maps P into C
A ∩ Y,The intersection of sets A and Y
(V ∪ R)ᶜ = Vᶜ ∩ Rᶜ,The complement of the union of V and R equals the intersection of their complements
t ∈ Y,The element t belongs to set Y
Z ∪ T,The union of sets Z and T
Q ⊆ U,Q is included in U
P ∩ (A ∪ W) = (P ∩ A) ∪ (P ∩ W),Intersection distributes over union: P ∩ (A ∪ W) = (P ∩ A) ∪ (P ∩ W)
m ∈ S,The element m belongs to set S
"Z = A ↔ ∀ x, x ∈ Z ↔ x ∈ A",Sets Z and A are equal if they have the same elements
P ⊆ V,Set P is a subset of set V
n ∈ R ∪ Q ↔ (n ∈ R ∨ n ∈ Q),n is in R union Q if and only if n is in R or n is in Q
"∀ x, x ∈ univ",Every element belongs to the universal set
"∃ S ⊆ A, S ≠ ∅",There exists a subset S of A that is non-empty
W ∩ X,The intersection of sets W and X
a ∈ Z ∪ B ↔ (a ∈ Z ∨ a ∈ B),a is in Z union B if and only if a is in Z or a is in B
"∃! x ∈ A, P x",There exists a unique element x in A satisfying P
"∀ x, x ∉ ∅",The empty set has no elements
𝒫(S) = {S | S ⊆ S},The power set of S is the set of all subsets of S
B ∪ Y,The union of sets B and Y
Q ⊆ Q ∧ Q ⊆ A → Q ⊆ A,"If Q ⊆ Q and Q ⊆ A, then Q ⊆ A"
V ∪ C,The union of sets V and C
Q = R ↔ (Q ⊆ R ∧ R ⊆ Q),Two sets are equal if and only if they are subsets of each other
W ⊆ univ,Every set W is a subset of the universal set
A ⊇ P,Set A is a superset of set P
R ∩ (Z ∪ T) = (R ∩ Z) ∪ (R ∩ T),Intersection distributes over union: R ∩ (Z ∪ T) = (R ∩ Z) ∪ (R ∩ T)
∅ ⊆ C,The empty set is a subset of every set C
"∀ S ⊆ Y, Finite S","For all subsets S of Y, S is finite"
Disjoint X Xᶜ,X and its complement are disjoint
X ∪ (A ∩ C) = (X ∪ A) ∩ (X ∪ C),Union distributes over intersection: X ∪ (A ∩ C) = (X ∪ A) ∩ (X ∪ C)
∅ ⊆ V,The empty set is a subset of every set V
y ∈ B \ Q,y is in B but not in Q
Y ⊇ T,Set Y is a superset of set T
m ∈ P,The element m belongs to set P
A ∩ U,The intersection of sets A and U
R ⊆ W ∧ W ⊆ Z → R ⊆ Z,"If R ⊆ W and W ⊆ Z, then R ⊆ Z"
T \ P,The set difference T minus P
{x ∈ B | Q x},The set of all elements in B satisfying property Q
b ∈ R ∩ P ↔ (b ∈ R ∧ b ∈ P),b belongs to the intersection of R and P if and only if b is in both R and P
S ∩ (S ∪ S) = (S ∩ S) ∪ (S ∩ S),Intersection distributes over union: S ∩ (S ∪ S) = (S ∩ S) ∪ (S ∩ S)
B ⊇ R,Set B is a superset of set R
k ∈ S \ C,k is in S but not in C
C ⊆ Y,Set C is a subset of set Y
"∃ x ∈ Z, Q x",There exists an element x in Z such that property Q holds
y ∈ Zᶜ ↔ y ∉ Z,y is in the complement of Z if and only if y is not in Z
m ∉ Y,m is not a member of set Y
y ∈ X ∩ V ↔ (y ∈ X ∧ y ∈ V),y belongs to the intersection of X and V if and only if y is in both X and V
w ∈ C ∩ A ↔ (w ∈ C ∧ w ∈ A),w belongs to the intersection of C and A if and only if w is in both C and A
a ∈ Wᶜ ↔ a ∉ W,a is in the complement of W if and only if a is not in W
U ⊆ V ∧ V ⊆ U → U = V,"If U is a subset of V and V is a subset of U, then U equals V"
{x ∈ X | Q x},The set of all elements in X satisfying property Q
V \ S,The set difference V minus S
(W ∪ B)ᶜ = Wᶜ ∩ Bᶜ,The complement of the union of W and B equals the intersection of their complements
m ∈ T,The element m belongs to set T
z ∉ Q,z is not a member of set Q
Z ⊆ T ∧ T ⊆ Z → Z = T,"If Z is a subset of T and T is a subset of Z, then Z equals T"
Surjective (f : W → R),f is surjective from W to R
Y ∩ S,The intersection of sets Y and S
"∃ x ∈ V, Q x",There exists an element x in V such that property Q holds
v ∈ P ∩ S ↔ (v ∈ P ∧ v ∈ S),v belongs to the intersection of P and S if and only if v is in both P and S
(C ∩ Z)ᶜ = Cᶜ ∪ Zᶜ,The complement of the intersection of C and Z equals the union of their complements
m ∈ S ∩ Z ↔ (m ∈ S ∧ m ∈ Z),m belongs to the intersection of S and Z if and only if m is in both S and Z
T ⊇ W,Set T is a superset of set W
(C ∪ Q)ᶜ = Cᶜ ∩ Qᶜ,The complement of the union of C and Q equals the intersection of their complements
w ∈ V ∪ T ↔ (w ∈ V ∨ w ∈ T),w is in V union T if and only if w is in V or w is in T
Rᶜ,The complement of set R
U ∩ (A ∪ B) = (U ∩ A) ∪ (U ∩ B),Intersection distributes over union: U ∩ (A ∪ B) = (U ∩ A) ∪ (U ∩ B)
(P ∪ W)ᶜ = Pᶜ ∩ Wᶜ,The complement of the union of P and W equals the intersection of their complements
B ⊆ C,Set B is a subset of set C
P ∪ (Z ∩ V) = (P ∪ Z) ∩ (P ∪ V),Union distributes over intersection: P ∪ (Z ∩ V) = (P ∪ Z) ∩ (P ∪ V)
W ∩ (W ∪ C) = W,Wbsorption law for intersection: W ∩ (W ∪ C) = W
W ∩ (P ∪ Q) = (W ∩ P) ∪ (W ∩ Q),Intersection distributes over union: W ∩ (P ∪ Q) = (W ∩ P) ∪ (W ∩ Q)
R ⊇ B,Set R is a superset of set B
U ⊆ V ∧ V ⊆ Q → U ⊆ Q,"If U ⊆ V and V ⊆ Q, then U ⊆ Q"
f : U → V,f maps U into V
(Vᶜ)ᶜ = V,Double complement of V is V
s ∈ X ∩ R ↔ (s ∈ X ∧ s ∈ R),s belongs to the intersection of X and R if and only if s is in both X and R
Injective (f : S → Q),f is injective on S
X ⊇ P,Set X is a superset of set P
c ∉ A,c is not a member of set A
{x | P x},The set of all elements x such that property P holds
t ∈ S ∩ P ↔ (t ∈ S ∧ t ∈ P),t belongs to the intersection of S and P if and only if t is in both S and P
Z ∪ A,The union of sets Z and A
W ⊇ Z,Set W is a superset of set Z
"∀ S, S ⊆ B → S ∈ 𝒫(B)",Every subset of B is an element of the power set of B
"{n : ℕ | ∃ k, n = 2 * k}",The set of all even natural numbers
"∃! x ∈ R, P x",There exists a unique element x in R satisfying P
v ∈ W,The element v belongs to set W
Z ⊆ W ∧ Infinite Z → Infinite W,"If Z ⊆ W and Z is infinite, then W is infinite"
∅ ⊆ V,The empty set is a subset of every set V
R ⊇ U,Set R is a superset of set U
Y ∪ P,The union of sets Y and P
A ∪ (U ∩ X) = (A ∪ U) ∩ (A ∪ X),Union distributes over intersection: A ∪ (U ∩ X) = (A ∪ U) ∩ (A ∪ X)
f '' Q,The image of set Q under function f
{x : ℝ | x > 0},The set of all positive real numbers
V ∪ (Y ∩ B) = (V ∪ Y) ∩ (V ∪ B),Union distributes over intersection: V ∪ (Y ∩ B) = (V ∪ Y) ∩ (V ∪ B)
A ∪ (Z ∩ R) = (A ∪ Z) ∩ (A ∪ R),Union distributes over intersection: A ∪ (Z ∩ R) = (A ∪ Z) ∩ (A ∪ R)
C \ W,The set difference C minus W
Disjoint Y P → Y ∩ P = ∅,"If Y and P are disjoint, then Y ∩ P = ∅"
A ∪ W,The union of sets A and W
u ∈ B \ Q,u is in B but not in Q
Surjective (f : Y → Y),f is surjective from Y to Y
S ∩ T,The intersection of sets S and T
x ∉ Q,x is not a member of set Q
c ∈ Yᶜ ↔ c ∉ Y,c is in the complement of Y if and only if c is not in Y
Surjective (f : U → Y),f is surjective from U to Y
Y ⊆ X ∧ X ⊆ B → Y ⊆ B,"If Y ⊆ X and X ⊆ B, then Y ⊆ B"
P ∪ C,The union of sets P and C
Z ⊆ Z ∪ S,Z is a subset of the union of Z and S
z ∈ Y ∪ A ↔ (z ∈ Y ∨ z ∈ A),z is in Y union A if and only if z is in Y or z is in A
U ⊇ R,Set U is a superset of set R
Vijective (f : U → V),f is bijective from U to V
A ∩ S,The intersection of sets A and S
Q ∩ (W ∪ C) = (Q ∩ W) ∪ (Q ∩ C),Intersection distributes over union: Q ∩ (W ∪ C) = (Q ∩ W) ∪ (Q ∩ C)
{x | P x},The set of all elements x such that property P holds
X ∪ (U ∩ V) = (X ∪ U) ∩ (X ∪ V),Union distributes over intersection: X ∪ (U ∩ V) = (X ∪ U) ∩ (X ∪ V)
s ∈ Z ∪ P ↔ (s ∈ Z ∨ s ∈ P),s is in Z union P if and only if s is in Z or s is in P
"∀ x, x ∈ univ",The universal set contains all elements
"∀ x ∈ R, P x → Q x","For every element x in R, if P(x) then Q(x)"
V ∩ P,The intersection of sets V and P
"U × U = {(a, b) | a ∈ U ∧ b ∈ U}","The Cartesian product U × U is the set of all ordered pairs (a, b) where a ∈ U and b ∈ U"
"∀ x, x ∉ ∅",No element belongs to the empty set
x ∉ V,x is not a member of set V
"{n : ℕ | ∃ k, n = 2 * k}",The set of all even natural numbers
X ⊆ T,Set X is a subset of set T
"∀ x, x ∈ univ",Every element belongs to the universal set
R \ C,The set difference R minus C
z ∈ B ∩ T ↔ (z ∈ B ∧ z ∈ T),z belongs to the intersection of B and T if and only if z is in both B and T
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
"∀ x, x ∉ ∅",No element belongs to the empty set
"∃! x ∈ R, P x",There exists a unique element x in R satisfying P
V = S ↔ (V ⊆ S ∧ S ⊆ V),Two sets are equal if and only if they are subsets of each other
X ∪ (P ∩ S) = (X ∪ P) ∩ (X ∪ S),Union distributes over intersection: X ∪ (P ∩ S) = (X ∪ P) ∩ (X ∪ S)
∅ ⊆ Y,The empty set is a subset of every set Y
R ⊆ Z,Every element of R belongs to Z
n ∈ U \ C,n is in U but not in C
"∃ S ⊆ Y, S ≠ ∅",There exists a subset S of Y that is non-empty
